TDEP,Cons,CAL,GR,LLD,LLS,RHOB,NPHI,PEF,DT,PHIF  (%),PHIf
2797.75,1,2.066,92.4134,886.6882,85.6472,2.621,0.061,2.713,52.7351,0.0538,0.0005
2797.875,1,2.089,89.85,1049.8583,87.7542,2.649,0.079,2.865,52.6439,0.0558,0.0006
2798,1,2.0775,84.387,1028.6805,85.5829,2.633,0.078,2.849,52.2547,0.0667,0.0007
2798.125,1,2.066,83.064,1007.5029,83.4132,2.617,0.077,2.833,51.8656,0.0788,0.0008
2798.25,1,2.05,86.733,1021.014,82.1153,2.616,0.069,3.069,52.0372,0.068,0.0007
2798.375,1,2.05,89.1457,1199.545,86.6134,2.628,0.076,2.803,51.2713,0.068,0.0007
2798.5,1,2.042,94.555,1253.8323,83.5384,2.628,0.058,3.006,51.4613,0.0456,0.0005
2798.625,1,2.05,94.6597,1262.0647,79.5956,2.625,0.033,2.887,51.5728,0.0242,0.0002
2798.75,1,2.046,96.323,1372.8071,81.0323,2.624,0.0435,2.9285,51.7021,0.0334,0.0003
2798.875,1,2.042,95.292,1483.5496,82.4685,2.623,0.054,2.97,51.8314,0.0445,0.0004
2799,1,2.042,95.7754,1342.6349,79.8141,2.58,0.063,2.923,51.7929,0.0909,0.0009
2799.125,1,2.216,90.8984,1207.9049,82.1753,2.562,0.053,2.928,52.0915,0.0918,0.0009
2799.25,1,2.793,89.4084,1530.7413,88.2161,2.498,0.046,2.845,51.6106,0.1508,0.0015
2799.375,1,2.282,89.8087,1196.9656,82.6237,2.561,0.062,2.943,51.0809,0.1085,0.0011
2799.5,1,2.294,94.028,1051.7218,80.905,2.565,0.0665,3.057,51.2047,0.1125,0.0011
2799.625,1,2.306,93.319,906.4778,79.1848,2.569,0.071,3.171,51.3286,0.1166,0.0012
2799.75,1,2.286,92.8717,877.6325,78.1691,2.623,0.078,3.354,51.9261,0.075,0.0008
2799.875,1,2.158,93.9917,824.9916,69.7967,2.628,0.072,2.903,52.43,0.0625,0.0006
2800,1,2.112,95.147,741.4077,67.022,2.599,0.051,2.831,52.6259,0.0573,0.0006
2800.125,1,2.1275,94.7299,705.5845,66.0395,2.5835,0.055,2.764,53.1141,0.0752,0.0008
2800.25,1,2.143,94.9835,669.7614,65.0557,2.568,0.059,2.697,53.6023,0.096,0.001
2800.375,1,2.147,96.3549,810.7667,70.2543,2.593,0.054,2.755,54.1459,0.0659,0.0007
2800.5,1,2.147,95.3007,974.3137,75.7628,2.653,0.055,2.814,53.8397,0.0287,0.0003
2800.625,1,2.36,94.005,927.1923,75.7716,2.671,0.062,2.968,54.5913,0.0259,0.0003
2800.75,1,2.282,93.9614,851.4752,76.7871,2.631,0.062,2.858,54.8282,0.0481,0.0005
2800.875,1,2.284,95.3385,752.2198,74.1315,2.6095,0.0615,2.8635,55.2126,0.063,0.0006
2801,1,2.286,95.9525,652.9645,71.4753,2.588,0.061,2.869,55.597,0.0802,0.0008
2801.125,1,2.135,94.4525,467.3848,67.098,2.628,0.086,2.973,55.0594,0.0827,0.0008
2801.25,1,2.104,88.842,558.4934,71.5727,2.649,0.084,2.812,54.573,0.0622,0.0006
2801.375,1,2.112,88.1817,650.5838,72.5504,2.637,0.06,2.774,54.476,0.0421,0.0004
2801.5,1,2.1235,88.4954,665.2722,72.4421,2.6265,0.056,2.8585,54.3772,0.0444,0.0004
2801.625,1,2.135,92.951,679.9607,72.3337,2.616,0.052,2.943,54.2783,0.0467,0.0005
2801.75,1,2.019,90.7517,746.7835,78.818,2.613,0.052,2.969,53.689,0.0487,0.0005
2801.875,1,2.019,88.9624,917.5198,90.8412,2.611,0.046,2.902,54.0897,0.0434,0.0004
2802,1,2.019,88.3294,825.4742,92.8823,2.641,0.056,3.048,54.6696,0.0358,0.0004
2802.125,1,2.066,89.8427,637.1833,85.0555,2.617,0.062,2.943,55.3196,0.0579,0.0006
2802.25,1,2.1295,92.4455,562.7113,92.8787,2.6145,0.0715,2.941,55.3005,0.0728,0.0007
2802.375,1,2.193,95.3915,488.2383,100.7342,2.612,0.081,2.939,55.2814,0.0897,0.0009
2802.5,1,2.004,96.4229,462.5965,95.4223,2.62,0.07,2.99,55.6406,0.0661,0.0007
2802.625,1,2.05,98.424,576.5639,121.7041,2.634,0.083,3.19,54.7187,0.0729,0.0007
2802.75,1,2.035,99.0774,661.4741,112.6808,2.649,0.053,3.37,53.3652,0.029,0.0003
2802.875,1,1.998,100.852,704.0941,117.2927,2.643,0.0495,3.277,52.7013,0.029,0.0003
2803,1,1.961,99.7766,746.7138,121.8916,2.637,0.046,3.184,52.0375,0.029,0.0003
2803.125,1,1.926,100.919,1045.931,117.8794,2.664,0.039,3.272,51.681,0.0136,0.0001
2803.25,1,1.926,102.138,1262.906,127.7332,2.616,0.033,2.938,51.3046,0.0284,0.0003
2803.375,1,1.934,105.014,1305.8896,133.1168,2.629,0.031,3.036,50.7082,0.0211,0.0002
2803.5,1,2.321,107.744,1351.2854,141.453,2.627,0.013,2.979,51.1941,0.0114,0.0001
2803.625,1,2.1195,110.632,1134.2498,132.1624,2.6145,0.015,3.052,51.4778,0.0163,0.0002
2803.75,1,1.918,112.097,917.2218,122.9855,2.602,0.017,3.125,51.7615,0.0224,0.0002
2803.875,1,2.004,111.005,633.4268,118.0189,2.605,0.023,2.91,52.2663,0.0255,0.0003
2804,1,1.934,103.849,642.329,103.5125,2.59,0.019,2.915,52.451,0.0294,0.0003
2804.125,1,1.903,98.7551,603.1661,105.5877,2.605,0.029,2.881,52.722,0.0304,0.0003
2804.25,1,1.907,95.0322,554.8948,104.6029,2.6175,0.026,2.8925,53.5187,0.0223,0.0002
2804.375,1,1.911,98.5596,506.6235,103.6178,2.63,0.023,2.904,53.8534,0.0157,0.0002
2804.5,1,1.903,98.8882,470.1042,109.9533,2.62,0.03,2.781,54.188,0.0242,0.0002
2804.625,1,1.911,95.1917,417.1485,114.4973,2.61,0.045,2.873,56.9941,0.043,0.0004
